Epoch: [1][30/85],Time 2.020 (2.280), Data 1.933 (2.166),Loss 3.3638 (3.4415), Prec@1 56.000 (46.433), Prec@5 65.000 (53.800)
Epoch: [1][60/85],Time 2.277 (2.297), Data 2.191 (2.196),Loss 1.9000 (3.0919), Prec@1 64.000 (55.733), Prec@5 71.000 (61.600)
Epoch: [2][30/85],Time 1.703 (1.751), Data 1.616 (1.662),Loss 1.9699 (1.9866), Prec@1 63.000 (63.000), Prec@5 67.000 (69.767)
Epoch: [2][60/85],Time 1.764 (1.758), Data 1.676 (1.670),Loss 1.8518 (1.9398), Prec@1 67.000 (63.850), Prec@5 73.000 (70.933)
Epoch: [3][30/85],Time 1.783 (1.752), Data 1.697 (1.665),Loss 1.7588 (1.8947), Prec@1 66.000 (64.067), Prec@5 76.000 (71.233)
Epoch: [3][60/85],Time 1.690 (1.745), Data 1.604 (1.658),Loss 2.0650 (1.9201), Prec@1 60.000 (63.383), Prec@5 69.000 (70.950)
Epoch: [4][30/85],Time 1.730 (1.757), Data 1.644 (1.670),Loss 2.0102 (1.8745), Prec@1 63.000 (64.000), Prec@5 69.000 (71.000)
Epoch: [4][60/85],Time 1.678 (1.756), Data 1.592 (1.670),Loss 1.9206 (1.8788), Prec@1 61.000 (63.900), Prec@5 70.000 (71.233)
Epoch: [5][30/85],Time 1.833 (1.734), Data 1.747 (1.648),Loss 1.7881 (1.9107), Prec@1 66.000 (63.000), Prec@5 70.000 (70.233)
Epoch: [5][60/85],Time 1.750 (1.742), Data 1.663 (1.656),Loss 1.8160 (1.8790), Prec@1 65.000 (63.467), Prec@5 70.000 (71.133)
Epoch: [6][30/85],Time 1.688 (1.763), Data 1.602 (1.676),Loss 1.9919 (1.7998), Prec@1 59.000 (64.133), Prec@5 67.000 (71.067)
Epoch: [6][60/85],Time 1.749 (1.753), Data 1.662 (1.666),Loss 1.7226 (1.8058), Prec@1 66.000 (63.700), Prec@5 74.000 (70.967)
Epoch: [7][30/85],Time 1.724 (1.754), Data 1.638 (1.667),Loss 1.9451 (1.7825), Prec@1 62.000 (63.400), Prec@5 75.000 (70.800)
Epoch: [7][60/85],Time 1.658 (1.759), Data 1.571 (1.672),Loss 1.9340 (1.7566), Prec@1 59.000 (64.117), Prec@5 63.000 (71.417)
Epoch: [8][30/85],Time 1.856 (1.743), Data 1.769 (1.657),Loss 1.6055 (1.7610), Prec@1 66.000 (63.067), Prec@5 75.000 (70.733)
Epoch: [8][60/85],Time 1.783 (1.746), Data 1.696 (1.659),Loss 1.6890 (1.7671), Prec@1 67.000 (63.167), Prec@5 70.000 (70.600)
