Train size 6904 items and test size 2500 items
Batch size: 13
Epoch: [1][30/35],Time 6.521 (6.747), Data 5.993 (6.221),Loss 2.1354 (2.6840), Prec@1 63.000 (50.217), Prec@5 68.000 (61.000)
Epoch: [2][30/35],Time 2.729 (2.820), Data 2.201 (2.290),Loss 2.0970 (1.9990), Prec@1 61.000 (63.867), Prec@5 67.500 (68.933)
Epoch: [3][30/35],Time 2.746 (2.840), Data 2.215 (2.310),Loss 2.1581 (1.9742), Prec@1 58.000 (63.800), Prec@5 62.500 (69.267)
Epoch: [4][30/35],Time 2.763 (2.831), Data 2.234 (2.301),Loss 1.9808 (1.9715), Prec@1 62.500 (63.717), Prec@5 69.000 (69.300)
Epoch: [5][30/35],Time 2.825 (2.821), Data 2.295 (2.290),Loss 1.8521 (1.9702), Prec@1 66.000 (63.367), Prec@5 71.000 (69.850)
Epoch: [6][30/35],Time 2.741 (2.818), Data 2.212 (2.288),Loss 2.0627 (1.9520), Prec@1 61.500 (63.600), Prec@5 70.000 (70.333)
Epoch: [7][30/35],Time 2.817 (2.848), Data 2.284 (2.317),Loss 1.9249 (1.9411), Prec@1 63.500 (63.517), Prec@5 71.500 (70.433)
Epoch: [8][30/35],Time 2.863 (2.865), Data 2.334 (2.334),Loss 2.1669 (1.9193), Prec@1 57.500 (63.983), Prec@5 64.000 (70.900)
Epoch: [9][30/35],Time 2.700 (2.838), Data 2.172 (2.308),Loss 2.1130 (1.9106), Prec@1 59.500 (64.150), Prec@5 65.500 (70.883)
Epoch: [10][30/35],Time 2.879 (2.833), Data 2.350 (2.303),Loss 1.9236 (1.9255), Prec@1 63.500 (63.583), Prec@5 70.500 (70.433)
Epoch: [11][30/35],Time 2.860 (2.821), Data 2.328 (2.291),Loss 1.8627 (1.9411), Prec@1 65.000 (63.150), Prec@5 72.500 (70.583)
Epoch: [12][30/35],Time 2.885 (2.846), Data 2.358 (2.316),Loss 1.8633 (1.9114), Prec@1 63.500 (63.817), Prec@5 73.500 (70.700)
Epoch: [13][30/35],Time 2.853 (2.844), Data 2.322 (2.312),Loss 1.8712 (1.8985), Prec@1 63.000 (63.883), Prec@5 69.500 (71.383)
Epoch: [14][30/35],Time 2.802 (2.846), Data 2.272 (2.316),Loss 2.0283 (1.9065), Prec@1 61.500 (63.750), Prec@5 66.500 (70.483)
Epoch: [15][30/35],Time 2.895 (2.854), Data 2.365 (2.323),Loss 1.7901 (1.8655), Prec@1 66.500 (64.450), Prec@5 74.500 (71.450)
Epoch: [16][30/35],Time 2.901 (2.836), Data 2.373 (2.305),Loss 1.9067 (1.8894), Prec@1 62.500 (63.600), Prec@5 70.000 (70.817)
Epoch: [17][30/35],Time 2.866 (2.839), Data 2.339 (2.308),Loss 1.7546 (1.8852), Prec@1 65.500 (63.517), Prec@5 72.000 (70.733)
Epoch: [18][30/35],Time 2.877 (2.836), Data 2.345 (2.305),Loss 1.6985 (1.8686), Prec@1 68.000 (63.833), Prec@5 72.500 (70.933)
Epoch: [19][30/35],Time 2.925 (2.842), Data 2.397 (2.311),Loss 1.6357 (1.8521), Prec@1 69.500 (63.950), Prec@5 74.000 (71.300)
Epoch: [20][30/35],Time 2.746 (2.841), Data 2.217 (2.311),Loss 1.9671 (1.8464), Prec@1 59.500 (63.850), Prec@5 67.000 (71.250)
Epoch: [21][30/35],Time 2.875 (2.834), Data 2.345 (2.303),Loss 1.7160 (1.8537), Prec@1 67.500 (63.667), Prec@5 73.000 (70.900)
Epoch: [22][30/35],Time 2.908 (2.847), Data 2.376 (2.316),Loss 1.6648 (1.8274), Prec@1 68.000 (64.067), Prec@5 73.500 (71.517)
Epoch: [23][30/35],Time 2.913 (2.881), Data 2.381 (2.350),Loss 1.6524 (1.8379), Prec@1 69.500 (63.600), Prec@5 75.500 (70.917)
Epoch: [24][30/35],Time 2.840 (2.843), Data 2.309 (2.312),Loss 1.7626 (1.8150), Prec@1 66.000 (63.900), Prec@5 71.000 (71.533)
Epoch: [25][30/35],Time 2.994 (2.833), Data 2.464 (2.303),Loss 1.5634 (1.8245), Prec@1 70.000 (63.617), Prec@5 79.500 (70.683)
Epoch: [26][30/35],Time 2.679 (2.834), Data 2.148 (2.303),Loss 2.0190 (1.7981), Prec@1 56.500 (63.817), Prec@5 67.500 (71.100)
Epoch: [27][30/35],Time 2.703 (2.835), Data 2.173 (2.304),Loss 2.0210 (1.7798), Prec@1 58.500 (63.967), Prec@5 66.500 (71.650)
Epoch: [28][30/35],Time 2.932 (2.825), Data 2.401 (2.294),Loss 1.5794 (1.7890), Prec@1 69.500 (63.483), Prec@5 74.000 (70.833)
Epoch: [29][30/35],Time 2.935 (2.849), Data 2.405 (2.318),Loss 1.6992 (1.7634), Prec@1 66.000 (63.933), Prec@5 71.500 (71.483)
Epoch: [30][30/35],Time 2.882 (2.823), Data 2.350 (2.292),Loss 1.7406 (1.7714), Prec@1 67.500 (63.667), Prec@5 70.000 (70.767)
Epoch: [31][30/35],Time 2.822 (2.846), Data 2.292 (2.316),Loss 1.7443 (1.7531), Prec@1 65.000 (63.850), Prec@5 73.000 (71.767)
Epoch: [32][30/35],Time 2.830 (2.843), Data 2.298 (2.312),Loss 1.6622 (1.7598), Prec@1 66.500 (63.550), Prec@5 73.000 (71.317)
Epoch: [33][30/35],Time 2.894 (2.836), Data 2.362 (2.306),Loss 1.7378 (1.7311), Prec@1 63.000 (64.000), Prec@5 70.500 (71.633)
Epoch: [34][30/35],Time 2.754 (2.831), Data 2.222 (2.300),Loss 1.8559 (1.7274), Prec@1 60.000 (63.767), Prec@5 69.000 (71.417)
Epoch: [35][30/35],Time 2.696 (2.839), Data 2.166 (2.308),Loss 1.8897 (1.7254), Prec@1 59.500 (63.700), Prec@5 67.500 (71.300)
Epoch: [36][30/35],Time 2.844 (2.832), Data 2.312 (2.301),Loss 1.7309 (1.7400), Prec@1 63.000 (63.817), Prec@5 71.500 (71.217)
Epoch: [37][30/35],Time 2.777 (2.825), Data 2.249 (2.294),Loss 1.7919 (1.7439), Prec@1 62.500 (63.417), Prec@5 69.000 (70.950)
Epoch: [38][30/35],Time 2.848 (2.835), Data 2.318 (2.305),Loss 1.6596 (1.7181), Prec@1 65.000 (64.000), Prec@5 71.500 (71.750)
Epoch: [39][30/35],Time 2.853 (2.823), Data 2.322 (2.293),Loss 1.6032 (1.7226), Prec@1 67.000 (63.517), Prec@5 76.000 (71.600)
Epoch: [40][30/35],Time 2.839 (2.832), Data 2.307 (2.301),Loss 1.4737 (1.7241), Prec@1 69.000 (63.833), Prec@5 77.000 (71.100)
