Train size 6904 items and test size 2500 items
Batch size: 13
Epoch: [1][30/35],Time 3.176 (3.227), Data 2.636 (2.693),Loss 1.8901 (2.4551), Prec@1 70.500 (58.717), Prec@5 75.500 (66.467)
Epoch: [2][30/35],Time 3.041 (3.004), Data 2.504 (2.470),Loss 1.8282 (1.8963), Prec@1 65.500 (63.717), Prec@5 75.500 (70.967)
Epoch: [3][30/35],Time 2.918 (2.983), Data 2.386 (2.449),Loss 1.8991 (1.8493), Prec@1 62.500 (63.583), Prec@5 71.500 (71.017)
Epoch: [4][30/35],Time 2.918 (3.001), Data 2.389 (2.468),Loss 1.7290 (1.7961), Prec@1 64.500 (64.117), Prec@5 71.500 (71.267)
Epoch: [5][30/35],Time 3.043 (2.991), Data 2.512 (2.460),Loss 1.8259 (1.7771), Prec@1 63.500 (63.783), Prec@5 69.500 (71.617)
Epoch: [6][30/35],Time 3.093 (2.993), Data 2.561 (2.462),Loss 1.7561 (1.7592), Prec@1 64.500 (63.900), Prec@5 75.000 (71.150)
Epoch: [7][30/35],Time 2.908 (2.994), Data 2.376 (2.463),Loss 1.9367 (1.7397), Prec@1 59.000 (63.833), Prec@5 64.500 (71.417)
Epoch: [8][30/35],Time 3.065 (2.975), Data 2.537 (2.445),Loss 1.6534 (1.7322), Prec@1 66.000 (63.767), Prec@5 72.500 (71.400)
Epoch: [9][30/35],Time 3.021 (2.977), Data 2.493 (2.444),Loss 1.4981 (1.7210), Prec@1 69.000 (63.800), Prec@5 77.000 (71.317)
Epoch: [10][30/35],Time 3.128 (3.016), Data 2.595 (2.483),Loss 1.4049 (1.6875), Prec@1 71.000 (63.867), Prec@5 77.500 (71.700)
Epoch: [11][30/35],Time 2.884 (3.002), Data 2.350 (2.469),Loss 1.7753 (1.7166), Prec@1 62.500 (63.783), Prec@5 74.500 (71.917)
Epoch: [12][30/35],Time 2.920 (2.988), Data 2.384 (2.456),Loss 1.6573 (1.7089), Prec@1 65.000 (63.500), Prec@5 74.000 (71.333)
Epoch: [13][30/35],Time 3.014 (2.998), Data 2.482 (2.468),Loss 1.5706 (1.6860), Prec@1 66.500 (64.133), Prec@5 73.000 (71.683)
Epoch: [14][30/35],Time 3.195 (3.030), Data 2.663 (2.499),Loss 1.5189 (1.6779), Prec@1 69.000 (64.083), Prec@5 74.500 (71.950)
Epoch: [15][30/35],Time 2.901 (3.033), Data 2.371 (2.503),Loss 1.6732 (1.6505), Prec@1 63.500 (64.033), Prec@5 70.500 (71.967)
Epoch: [16][30/35],Time 2.953 (3.182), Data 2.421 (2.651),Loss 1.7301 (1.6582), Prec@1 59.500 (63.750), Prec@5 73.000 (71.933)
Epoch: [17][30/35],Time 2.904 (2.987), Data 2.374 (2.453),Loss 1.5875 (1.6448), Prec@1 65.000 (64.067), Prec@5 77.000 (72.333)
Epoch: [18][30/35],Time 2.855 (2.961), Data 2.322 (2.428),Loss 1.7715 (1.6787), Prec@1 63.000 (63.550), Prec@5 71.500 (71.900)
Epoch: [19][30/35],Time 2.911 (3.082), Data 2.379 (2.551),Loss 1.6929 (1.6896), Prec@1 64.500 (63.750), Prec@5 70.500 (71.850)
Epoch: [20][30/35],Time 3.134 (2.952), Data 2.594 (2.421),Loss 1.5251 (1.6646), Prec@1 66.500 (63.500), Prec@5 74.000 (71.733)
